grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8
0.0014911,-0.00033061,4.36E-21,-0.031594,-0.0014973,5.43E-20,0,0,0
0.0014742,-0.00029441,2.15E-20,-0.036942,-0.0014802,-6.64E-20,-4.61E-19,-1.91E-21,3.90E-39
0.001436,-0.00025906,3.73E-21,-0.043393,-0.0014421,-5.35E-20,4.96E-19,2.06E-21,-1.83E-39
0.0013736,-0.00022447,3.83E-20,-0.051283,-0.00138,2.52E-20,0,0,0
0.0012852,-0.00019066,-3.79E-20,-0.061037,-0.0012921,1.10E-19,2.63E-19,5.70E-22,9.41E-39
0.0011715,-0.00015774,-5.22E-21,-0.073205,-0.0011779,-2.26E-20,-6.02E-19,-1.16E-21,-1.82E-38
0.0010325,-0.00012594,2.32E-20,-0.088506,-0.0010392,-1.12E-19,3.04E-19,5.04E-22,7.78E-39
0.00087359,-9.56E-05,-2.28E-20,-0.10793,-0.00088006,6.45E-20,9.62E-21,8.83E-24,-6.45E-40
0.00070089,-6.72E-05,1.59E-21,-0.13295,-0.00070755,2.38E-21,0,0,0
0.00052465,-4.14E-05,-1.76E-23,-0.16599,-0.00053126,-5.84E-21,0,0,0
0.00035768,-1.89E-05,-1.62E-20,-0.21162,-0.00036365,3.75E-20,1.48E-20,4.49E-24,-6.10E-40
0.00021269,-7.21E-07,8.07E-21,-0.27992,-0.00022232,-4.71E-20,-6.59E-20,-1.17E-23,7.48E-40
0.00010961,1.17E-05,1.38E-20,-0.39989,-0.00012999,-1.49E-20,7.21E-20,1.29E-23,-6.35E-40
7.75E-05,1.74E-05,6.05E-21,-0.69495,-6.81E-05,2.09E-20,-1.06E-20,-1.85E-24,9.72E-41
0.00021329,1.52E-05,-7.59E-21,-1.2865,-0.0002241,1.17E-20,1.15E-20,2.01E-24,-1.05E-40
0.31313,-0.10835,2.49E-19,1.0225,-0.31357,-8.06E-19,0,0,0
0.15028,-0.051523,-5.72E-20,0.63714,-0.14349,9.63E-19,1.42E-17,-3.88E-18,1.95E-36
0.052925,-0.025536,1.72E-19,0.37454,-0.05589,4.43E-19,-2.95E-17,7.66E-18,-7.57E-36
0.012958,-0.015199,-1.67E-19,0.25625,-0.014356,-9.77E-19,1.52E-17,-3.77E-18,5.33E-36
-0.0063692,-0.011242,1.21E-19,0.1882,0.0062094,7.50E-19,-6.86E-21,1.81E-21,4.44E-39
