U:0,U:1,U:2
-0.00024021,0.00063098,2.94E-23
0.00027873,0.00039319,6.89E-20
0.00096767,0.0001045,-6.21E-20
0.0018476,-0.00022879,-3.55E-23
0.0029313,-0.00059458,1.46E-23
0.0042195,-0.00097482,0
0.0056975,-0.0013467,-1.09E-23
0.0073348,-0.0016853,-4.42E-23
0.0090869,-0.0019667,-9.53E-24
0.010899,-0.0021719,-3.87E-23
0.012713,-0.0022896,1.79E-20
0.01447,-0.0023178,-1.67E-20
0.016125,-0.0022639,-1.44E-23
0.017641,-0.0021425,0
0.019003,-0.0019721,0
0.020205,-0.001772,0
0.021259,-0.0015587,-1.17E-20
0.022181,-0.0013445,1.09E-20
0.022993,-0.0011371,-1.95E-23
0.023713,-0.00094057,9.70E-21
0.024361,-0.00075664,-9.29E-21
0.024949,-0.00058575,0
0.02549,-0.00042798,0
0.02599,-0.00028344,0
0.026458,-0.0001523,8.42E-21
0.026897,-3.47E-05,-8.16E-21
0.027312,6.91E-05,0
0.027706,0.00015942,8.48E-21
0.028081,0.00023648,-8.23E-21
0.028441,0.00030087,8.54E-21
0.028785,0.00035337,-8.43E-21
0.029116,0.00039492,1.37E-22
0.029434,0.00042659,9.06E-21
0.029739,0.00044951,-9.36E-21
0.030029,0.00046479,0
0.030304,0.00047352,-7.83E-23
0.030562,0.00047668,-1.06E-20
0.030802,0.00047516,1.08E-20
0.031022,0.00046974,-1.13E-20
0.031219,0.00046106,1.19E-20
0.031393,0.00044967,0
0.031542,0.00043604,0
0.031665,0.00042054,2.11E-22
0.031761,0.00040353,0
0.031829,0.00038529,-2.34E-22
0.03187,0.00036609,0
0.031882,0.00034615,-2.62E-22
0.031867,0.00032567,8.89E-21
0.031822,0.00030481,-9.29E-21
0.031747,0.0002837,8.01E-23
0.031641,0.00026245,-1.71E-22
0.031503,0.00024114,-5.75E-21
0.031331,0.00021984,6.40E-21
0.031124,0.0001986,-7.23E-21
0.030879,0.0001775,7.53E-21
0.030595,0.00015663,8.20E-21
0.030271,0.0001361,-8.95E-21
0.029905,0.00011608,0
0.029496,9.68E-05,-5.41E-21
0.029042,7.84E-05,1.13E-20
0.028539,6.12E-05,-6.18E-21
0.027983,4.56E-05,-1.57E-22
0.027369,3.16E-05,-7.41E-21
0.026687,1.97E-05,8.07E-21
0.025927,9.93E-06,-4.50E-21
0.025076,2.49E-06,4.77E-21
0.02412,-2.63E-06,0
0.023039,-5.51E-06,0
0.02181,-6.40E-06,0
0.020403,-5.64E-06,-3.50E-21
0.018771,-3.70E-06,8.09E-21
0.016836,-1.08E-06,-4.64E-21
0.014441,1.50E-06,2.31E-23
0.011181,3.23E-06,-2.14E-21
0.005374,3.76E-06,3.15E-21
-0.00060471,0.00055676,0
-0.0010965,0.0011506,3.10E-19
-0.001193,0.0012917,-1.68E-19
-0.0011286,0.0012815,5.55E-23
-0.00096478,0.0012023,-2.03E-23
-0.0007071,0.0010727,0
-0.00034239,0.00089626,-6.59E-20
0.00015239,0.00067266,-1.60E-23
0.00080504,0.00040179,1.16E-19
0.0016426,8.71E-05,-5.53E-20
0.002686,-0.00026247,-5.26E-23
0.003945,-0.00063158,1.48E-22
